SystemIndex,Millis,MeanIBI,MaxIBI,MinIBI,MeanNDVI,MaxNDVI,MinNDVI,MeanMNDWI,MaxMNDWI,MinMNDWI,MeanLST,MaxLST,MinLST,Cloud,Timestamp,Year,Month,Day,DOY,Sensor
1_1_LC08_126052_20170629,1498706387820,-0.178472371906541,0.2059064246643622,-0.5687525849201637,0.5158284444649509,0.9604519605636596,-0.5741021633148193,-0.318769517094178,0.8238719068413392,-0.7790927021696252,22.3578267693273,32.65447799943962,20.00034442786256,27.06999969482422,2017-06-29 03:19:47.820,2017,6,29,180,LS8
1_1_LC08_126052_20170731,1501471198920,-0.176617090990907,0.2725410380272394,-0.7405970589504941,0.4389573802989258,0.9659673571586608,-0.5906183123588562,-0.2570193378894433,0.8589007383100903,-0.973795761078998,25.766519284412635,38.47815973356484,20.00018539072101,50.900001525878906,2017-07-31 03:19:58.920,2017,7,31,212,LS8
1_2_LE07_126052_20170808,1502162558710,,,,,,,,,,,,,34.0,2017-08-08 03:22:38.710,2017,8,8,220,LS7
1_2_LE07_126052_20170824,1503544958330,-0.035142537090563,0.6695816975791341,-0.3061209307822442,0.3256089400124991,0.762173056602478,-0.6730101704597473,-0.3317486444626917,0.7107908130533339,-0.7355838070030807,22.99112893712516,33.41986967074769,20.07894784061392,31.0,2017-08-24 03:22:38.330,2017,8,24,236,LS7
1_1_LC08_126052_20170901,1504236007830,-0.1869335078316514,0.3196877473652105,-0.9740503544762126,0.4478265774172932,1.0,-0.7628571391105652,-0.2631818077140223,0.9933333333333334,-0.8638743455497382,30.52244020846962,44.82608502719302,22.984800644686857,16.34000015258789,2017-09-01 03:20:07.830,2017,9,1,244,LS8
1_1_LC08_126052_20170917,1505618409220,,,,,,,,,,,,,56.86000061035156,2017-09-17 03:20:09.220,2017,9,17,260,LS8
1_2_LE07_126052_20171011,1507692158850,,,,,,,,,,,,,38.0,2017-10-11 03:22:38.850,2017,10,11,284,LS7
1_1_LC08_126052_20171206,1512530410360,-0.1676630795146752,0.3807669891543684,-0.8510061207789613,0.4491805275247802,0.9824689626693726,-0.8157894611358643,-0.2751476426019371,0.93394777265745,-0.8238841978287093,26.886367241788385,36.15170983800732,22.204371493081283,1.2899999618530271,2017-12-06 03:20:10.360,2017,12,6,340,LS8
1_1_LC08_126052_20171222,1513912813540,,,,,,,,,,,,,48.880001068115234,2017-12-22 03:20:13.540,2017,12,22,356,LS8
1_2_LE07_126052_20171230,1514604133040,0.0326365358837779,0.1656645848538723,-0.2296937413577733,0.237345390160373,0.6491446495056152,0.0565152466297149,-0.3336960073566147,-0.1024930747922437,-0.5595458146289939,26.09990841820829,34.2757948050637,20.00410421641061,6.0,2017-12-30 03:22:13.040,2017,12,30,364,LS7
1_1_LC08_126052_20180107,1515295208420,-0.1460913146530858,0.3999444672396606,-0.4921894869391765,0.5240111287262857,0.9910614490509032,-0.9243243336677552,-0.3566541587762757,0.7917068466730954,-0.9199652022618532,24.20292492064285,36.75190815406154,20.000557108898647,46.290000915527344,2018-01-07 03:20:08.420,2018,1,7,7,LS8
1_2_LE07_126052_20180115,1515986519560,0.0244251614911012,0.1014878690374638,-0.1403361466918691,0.1818364737693637,0.4340958595275879,0.0584924630820751,-0.272677152671156,-0.0383247728170684,-0.4073093220338983,22.366739637932557,27.391709752987367,20.15066507343693,49.0,2018-01-15 03:21:59.560,2018,1,15,15,LS7
1_1_LC08_126052_20180208,1518059992290,-0.1217732847448362,0.2213410573491167,-0.5885678867283857,0.4192992087870928,0.8438382148742676,-0.3130742013454437,-0.2597096174772272,0.7510955302366344,-0.5621084797555386,28.65736113164404,37.16184139602046,25.165093302851687,16.329999923706055,2018-02-08 03:19:52.290,2018,2,8,39,LS8
1_2_LE07_126052_20180216,1518751292000,,,,,,,,,,,,,50.0,2018-02-16 03:21:32.000,2018,2,16,47,LS7
1_1_LC08_126052_20180224,1519442386230,-0.1342663792428051,0.2938182426180014,-0.6766913148707245,0.435083511976305,0.8597063422203064,-0.5743119120597839,-0.2829628541891962,0.8795180722891566,-0.7348248670456631,32.532578924514766,43.08269024626384,27.23789566097787,13.720000267028809,2018-02-24 03:19:46.230,2018,2,24,55,LS8
1_2_LE07_126052_20180304,1520133681880,-0.1172260889103807,0.2236897996544381,-0.8442824648189964,0.4405359745741991,0.7593073844909668,-0.2083568572998047,-0.3131214539758,0.8042414355628059,-0.6792094260737364,33.50722854144062,51.260656618364806,20.107656253713916,12.0,2018-03-04 03:21:21.880,2018,3,4,63,LS7
1_1_LC08_126052_20180312,1520824777400,-0.1147408578458418,0.2609371644306982,-0.4520605989152413,0.4249015152511383,0.8127398490905762,-0.3228501081466675,-0.2802886434685064,0.6553998351195384,-0.6376146788990826,32.729238787613774,43.8779347906289,28.088896930961425,4.630000114440918,2018-03-12 03:19:37.400,2018,3,12,71,LS8
1_1_LC08_126052_20180328,1522207170330,-0.0981091857062498,0.2395128491815657,-0.4780356366528971,0.4170624929724807,0.8269230723381042,-0.0680428147315979,-0.2874566444644566,0.5496062992125984,-0.694919168591224,32.53450866544884,42.512753855983306,26.987153006920494,24.549999237060547,2018-03-28 03:19:30.330,2018,3,28,87,LS8
1_1_LC08_126052_20180413,1523589561770,-0.1129496546029412,0.2859716487205553,-0.6216130967302183,0.4473607997658806,0.8784562349319458,-0.2922111749649048,-0.3171303545563306,0.6877323420074349,-0.7541351848070246,33.227114113593586,45.236836446074335,23.90868915088288,31.700000762939453,2018-04-13 03:19:21.770,2018,4,13,103,LS8
1_1_LC08_126052_20180515,1526354342520,-0.1568961533191545,0.2985364536501471,-0.6549009303856204,0.5063517139938303,0.9879999756813048,-0.3265132009983063,-0.3118789700731974,0.7959542656112577,-0.7149300857013984,28.809190233565023,43.75150100138774,20.11601482587821,23.209999084472656,2018-05-15 03:19:02.520,2018,5,15,135,LS8
1_1_LC08_126052_20180531,1527736729480,-0.1665272522159147,0.1791135328626699,-0.6016817748020761,0.5229431425787929,0.9946914315223694,-0.5736677050590515,-0.3181119108472416,0.7517241379310344,-0.806998939554613,21.96499460584477,28.020603978844637,20.00008605730062,50.5099983215332,2018-05-31 03:18:49.480,2018,5,31,151,LS8
1_2_LE07_126052_20180624,1529810373780,-0.1543467036620038,0.6852850037907064,-0.7228828618909097,0.5057078282607536,0.850492537021637,-0.6713324785232544,-0.3561810118020639,0.786628733997155,-0.8420446695832374,37.80158340841902,53.80654157565664,29.6739216266605,9.0,2018-06-24 03:19:33.780,2018,6,24,175,LS7
1_1_LC08_126052_20180702,1530501545400,-0.139804303338581,0.2640187453919552,-0.4778819464583113,0.4951068163467665,0.9805631637573242,-0.497354507446289,-0.3454515052190759,0.6875522138680035,-0.9883355764917005,25.53873609249259,37.638457699675314,20.001224605342827,16.329999923706055,2018-07-02 03:19:05.400,2018,7,2,183,LS8
1_2_LE07_126052_20180726,1532575137880,,,,,,,,,,,,,55.0,2018-07-26 03:18:57.880,2018,7,26,207,LS7
1_1_LC08_126052_20180920,1537413579880,-0.1494808208595796,0.4256991251971891,-0.7859100525746756,0.5173801589639664,0.9799635410308838,-0.8307692408561707,-0.3514532969594064,0.9022556390977444,-0.7633802816901408,24.61245796766579,35.08209162539492,20.00006888180508,38.810001373291016,2018-09-20 03:19:39.880,2018,9,20,263,LS8
1_2_LE07_126052_20180928,1538104658680,-0.23888275414782,0.441471346176523,-1.0289215985889897,0.1916907885275315,0.7829766273498535,-0.6593379378318787,0.0295233876164071,0.9896907216494844,-0.8322568824149146,35.47731184874592,50.28186927173067,29.13126483145521,19.0,2018-09-28 03:17:38.680,2018,9,28,271,LS7
1_1_LC08_126052_20181006,1538795988190,-0.1955663122420753,-0.055445319855016,-0.325917964282336,0.3555165744490093,0.7704304456710815,0.125167042016983,-0.0963813859435556,0.1230598669623059,-0.3941138835572617,22.727005642055595,24.89798138995991,20.011490086564493,49.09999847412109,2018-10-06 03:19:48.190,2018,10,6,279,LS8
1_2_LE07_126052_20181014,1539487034770,-0.1606776793336781,0.6697759439708383,-0.7071091270968595,0.4029466488504056,0.8598657846450806,-0.6705646514892578,-0.2373221092052366,0.8726790450928382,-0.8334326442682312,25.83898083438405,38.866421033560925,20.012880053804903,30.0,2018-10-14 03:17:14.770,2018,10,14,287,LS7
1_1_LC08_126052_20181022,1540178394100,-0.1954020925942747,0.2127909180673958,-0.7530974413298577,0.5204378915259477,1.0,-0.6644951105117798,-0.2949277877433282,0.923882017126546,-0.900218499635834,26.97587702033888,44.19642665239661,20.00139088075838,27.93000030517578,2018-10-22 03:19:54.100,2018,10,22,295,LS8
1_2_LE07_126052_20181030,1540869414040,-0.1411870514737309,0.5113598126614584,-0.6307090294517772,0.4237268273981455,0.8317017555236816,-0.6419013142585754,-0.2871622519235,0.8275862068965518,-0.8697704856728836,34.037407697485364,47.26968902167545,28.686500739936776,3.0,2018-10-30 03:16:54.040,2018,10,30,303,LS7
